,time,open,high,low,close,tick_volume,spread,real_volume,time_num
129,2024-07-02,2331.75,2336.78,2319.12,2329.35,70178,5,0,4368.0
130,2024-07-03,2329.55,2364.92,2326.82,2356.07,71327,5,0,4392.0
131,2024-07-04,2356.17,2362.52,2350.64,2356.1,45570,5,0,4416.0
132,2024-07-05,2357.21,2392.91,2352.3,2391.06,78621,5,0,4440.0
133,2024-07-08,2386.21,2391.13,2351.14,2359.09,76078,5,0,4512.0
134,2024-07-09,2359.35,2371.33,2349.29,2363.73,74775,5,0,4536.0
135,2024-07-10,2364.12,2386.61,2362.19,2371.26,68758,5,0,4560.0
136,2024-07-11,2371.03,2424.54,2370.44,2415.3,76342,5,0,4584.0
137,2024-07-12,2415.29,2418.17,2391.44,2411.59,81842,5,0,4608.0
138,2024-07-15,2411.51,2439.67,2401.32,2422.23,85183,5,0,4680.0
139,2024-07-16,2422.14,2469.65,2420.01,2468.69,85927,5,0,4704.0
140,2024-07-17,2468.66,2483.54,2451.36,2458.66,172836,5,0,4728.0
141,2024-07-18,2458.51,2474.8,2440.23,2445.08,181426,5,0,4752.0
142,2024-07-19,2445.65,2445.67,2393.71,2400.3,185614,5,0,4776.0
143,2024-07-22,2401.79,2412.04,2383.71,2396.35,167639,5,0,4848.0
144,2024-07-23,2396.71,2411.91,2388.17,2409.62,168714,5,0,4872.0
145,2024-07-24,2408.65,2431.9,2396.72,2397.23,179458,5,0,4896.0
146,2024-07-25,2397.05,2401.11,2352.97,2364.49,241295,5,0,4920.0
147,2024-07-26,2364.05,2390.68,2355.7,2387.34,182598,5,0,4944.0
148,2024-07-29,2388.7,2403.05,2369.54,2383.5,179262,5,0,5016.0
149,2024-07-30,2383.83,2412.64,2376.36,2410.92,174873,5,0,5040.0
150,2024-07-31,2410.98,2450.8,2403.76,2447.24,211323,5,0,5064.0
151,2024-08-01,2448.53,2462.17,2430.12,2446.3,227718,5,0,5088.0
152,2024-08-02,2446.24,2477.61,2410.72,2441.38,238833,5,0,5112.0
153,2024-08-05,2444.61,2458.65,2364.06,2409.96,303106,5,0,5184.0
154,2024-08-06,2410.23,2418.23,2381.48,2389.85,248749,5,0,5208.0
155,2024-08-07,2391.58,2406.9,2378.94,2383.06,211353,5,0,5232.0
156,2024-08-08,2381.01,2427.53,2380.95,2427.18,214274,5,0,5256.0
157,2024-08-09,2427.07,2436.93,2416.78,2431.07,176072,5,0,5280.0
158,2024-08-12,2429.26,2473.16,2423.75,2472.03,154564,5,0,5352.0
159,2024-08-13,2471.08,2476.82,2458.4,2464.98,166903,5,0,5376.0
160,2024-08-14,2465.65,2479.7,2437.98,2447.92,187574,5,0,5400.0
161,2024-08-15,2447.5,2469.95,2432.09,2456.24,176316,5,0,5424.0
162,2024-08-16,2455.96,2509.61,2450.64,2507.46,180403,5,0,5448.0
163,2024-08-19,2508.41,2510.06,2485.54,2504.23,183561,5,0,5520.0
164,2024-08-20,2503.42,2531.53,2497.23,2514.01,177578,5,0,5544.0
165,2024-08-21,2513.79,2519.84,2493.81,2512.3,178292,5,0,5568.0
166,2024-08-22,2511.93,2514.56,2470.73,2484.73,182512,5,0,5592.0
167,2024-08-23,2484.81,2518.23,2484.33,2511.93,178967,5,0,5616.0
168,2024-08-26,2511.56,2526.7,2508.63,2517.91,172547,5,0,5688.0
169,2024-08-27,2518.06,2525.84,2503.45,2524.59,166644,5,0,5712.0
170,2024-08-28,2524.56,2528.9,2493.55,2504.67,167110,5,0,5736.0
171,2024-08-29,2504.55,2528.6,2503.55,2521.09,173193,5,0,5760.0
172,2024-08-30,2521.13,2526.75,2494.06,2503.35,174801,5,0,5784.0
173,2024-09-02,2502.34,2507.18,2489.94,2499.46,110467,5,0,5856.0
174,2024-09-03,2499.89,2506.18,2473.39,2492.86,185141,5,0,5880.0
175,2024-09-04,2493.05,2500.15,2471.77,2495.44,173118,5,0,5904.0
176,2024-09-05,2495.24,2523.31,2493.72,2516.63,171151,5,0,5928.0
177,2024-09-06,2516.84,2529.08,2485.02,2497.61,194614,5,0,5952.0
178,2024-09-09,2497.09,2507.04,2485.44,2506.22,175640,5,0,6024.0
179,2024-09-10,2506.19,2518.32,2500.02,2516.54,162060,5,0,6048.0
180,2024-09-11,2516.55,2528.93,2500.85,2511.35,192814,5,0,6072.0
181,2024-09-12,2511.97,2559.98,2510.9,2558.6,187663,5,0,6096.0
182,2024-09-13,2558.54,2585.92,2556.61,2578.38,191691,5,0,6120.0
183,2024-09-16,2579.39,2589.56,2575.17,2582.42,149290,5,0,6192.0
184,2024-09-17,2582.09,2586.82,2560.69,2569.45,168290,5,0,6216.0
185,2024-09-18,2569.64,2600.04,2546.71,2559.27,196306,5,0,6240.0
186,2024-09-19,2558.73,2594.76,2550.94,2586.61,212431,5,0,6264.0
187,2024-09-20,2586.85,2625.65,2584.71,2622.26,192171,5,0,6288.0
188,2024-09-23,2619.54,2634.74,2613.78,2628.39,170980,5,0,6360.0
189,2024-09-24,2628.64,2664.24,2622.56,2656.99,203370,5,0,6384.0
190,2024-09-25,2657.43,2670.39,2649.61,2657.02,189847,5,0,6408.0
191,2024-09-26,2656.47,2685.44,2654.7,2672.23,204851,5,0,6432.0
192,2024-09-27,2672.24,2674.2,2643.04,2659.81,216031,5,0,6456.0
193,2024-09-30,2658.25,2665.9,2624.59,2634.53,207306,5,0,6528.0
194,2024-10-01,2634.35,2673.04,2632.13,2663.37,178322,5,0,6552.0
195,2024-10-02,2663.25,2663.26,2641.02,2658.67,167809,5,0,6576.0
196,2024-10-03,2658.51,2662.79,2636.9,2656.01,186642,5,0,6600.0
197,2024-10-04,2656.25,2670.15,2631.91,2653.57,129072,5,0,6624.0
198,2024-10-07,2649.56,2659.61,2637.74,2642.51,85860,5,0,6696.0
199,2024-10-08,2644.69,2652.96,2604.77,2621.85,98279,5,0,6720.0
200,2024-10-09,2621.6,2624.34,2605.21,2607.68,87211,5,0,6744.0
201,2024-10-10,2607.68,2631.52,2605.89,2630.05,87430,5,0,6768.0
202,2024-10-11,2629.75,2661.4,2628.02,2656.38,80192,3,0,6792.0
203,2024-10-14,2655.69,2666.77,2643.17,2648.52,79898,5,0,6864.0
204,2024-10-15,2648.48,2668.96,2638.33,2662.64,85041,5,0,6888.0
205,2024-10-16,2662.43,2685.24,2658.73,2673.64,81811,5,0,6912.0
206,2024-10-17,2673.91,2696.74,2673.15,2692.83,87494,5,0,6936.0
207,2024-10-18,2692.69,2722.6,2691.82,2721.91,87565,5,0,6960.0
208,2024-10-21,2720.16,2740.56,2714.27,2719.5,94372,5,0,7032.0
209,2024-10-22,2719.49,2748.86,2718.93,2748.81,87044,5,0,7056.0
210,2024-10-23,2748.27,2758.47,2708.78,2715.57,92031,5,0,7080.0
211,2024-10-24,2715.39,2743.19,2715.09,2735.84,90227,5,0,7104.0
212,2024-10-25,2735.83,2747.55,2717.02,2747.39,84877,5,0,7128.0
213,2024-10-28,2732.7,2745.92,2724.72,2742.24,87422,5,0,7200.0
214,2024-10-29,2741.97,2774.75,2739.8,2774.44,92516,5,0,7224.0
215,2024-10-30,2774.11,2790.05,2770.87,2787.21,92262,5,0,7248.0
216,2024-10-31,2787.85,2790.09,2731.64,2743.77,91037,5,0,7272.0
217,2024-11-01,2743.91,2762.26,2733.17,2735.84,95509,5,0,7296.0
218,2024-11-04,2738.13,2748.16,2730.55,2736.46,96948,5,0,7368.0
219,2024-11-05,2736.84,2749.88,2724.71,2743.72,89174,5,0,7392.0
220,2024-11-06,2743.32,2749.69,2652.44,2658.94,119755,5,0,7416.0
221,2024-11-07,2659.18,2710.27,2643.33,2706.24,104394,5,0,7440.0
222,2024-11-08,2705.81,2710.35,2680.35,2684.15,97232,5,0,7464.0
223,2024-11-11,2682.96,2686.22,2610.59,2619.3,96185,5,0,7536.0
224,2024-11-12,2619.5,2627.13,2589.81,2597.98,101759,5,0,7560.0
225,2024-11-13,2598.53,2618.81,2572.65,2572.7,97489,5,0,7584.0
226,2024-11-14,2574.82,2581.29,2536.77,2564.53,109662,5,0,7608.0
227,2024-11-15,2565.12,2576.05,2554.58,2561.78,100256,5,0,7632.0
228,2024-11-18,2564.94,2615.02,2564.79,2611.72,97519,5,0,7704.0
229,2024-11-19,2611.74,2639.4,2610.23,2632.11,96397,5,0,7728.0
230,2024-11-20,2632.0,2655.35,2618.91,2650.08,94155,5,0,7752.0
231,2024-11-21,2649.8,2673.47,2648.63,2669.41,94033,5,0,7776.0
232,2024-11-22,2669.66,2715.5,2668.21,2715.34,102746,5,0,7800.0
233,2024-11-25,2692.25,2721.31,2615.6,2625.46,105609,5,0,7872.0
234,2024-11-26,2625.01,2641.9,2604.86,2633.02,100386,5,0,7896.0
235,2024-11-27,2630.47,2658.2,2627.0,2635.95,89383,5,0,7920.0
236,2024-11-28,2637.8,2649.57,2620.92,2637.07,64090,5,0,7944.0
237,2024-11-29,2637.58,2666.37,2634.03,2650.33,86260,5,0,7968.0
238,2024-12-02,2652.01,2652.69,2621.86,2638.62,103110,5,0,8040.0
239,2024-12-03,2639.23,2655.56,2634.11,2643.5,91928,5,0,8064.0
240,2024-12-04,2643.29,2656.99,2632.31,2649.88,93798,5,0,8088.0
241,2024-12-05,2649.6,2655.54,2623.52,2631.66,87579,5,0,8112.0
242,2024-12-06,2631.76,2645.6,2612.32,2632.67,91127,5,0,8136.0
243,2024-12-09,2643.88,2676.32,2627.57,2660.18,98808,0,0,8208.0
244,2024-12-10,2660.85,2695.46,2657.93,2693.8,92398,5,0,8232.0
245,2024-12-11,2693.98,2721.07,2674.85,2717.95,100382,5,0,8256.0
246,2024-12-12,2717.58,2726.15,2675.03,2680.55,97260,5,0,8280.0
247,2024-12-13,2681.0,2692.77,2645.68,2648.8,96541,5,0,8304.0
248,2024-12-16,2650.72,2664.23,2643.52,2652.62,74306,5,0,8376.0
249,2024-12-17,2652.65,2658.57,2633.03,2646.4,82723,5,0,8400.0
250,2024-12-18,2646.32,2651.7,2583.62,2585.31,82407,5,0,8424.0
251,2024-12-19,2585.48,2626.42,2582.92,2594.39,90171,5,0,8448.0
252,2024-12-20,2594.75,2631.82,2589.69,2623.03,84572,5,0,8472.0
253,2024-12-23,2620.78,2633.22,2608.13,2612.77,77618,5,0,8544.0
254,2024-12-24,2613.12,2621.46,2610.02,2616.59,56605,5,0,8568.0
255,2024-12-26,2616.14,2639.14,2614.12,2633.53,63754,5,0,8616.0
256,2024-12-27,2635.7,2638.34,2611.69,2621.54,69633,5,0,8640.0
257,2024-12-30,2621.03,2628.13,2596.09,2605.96,69847,5,0,8712.0
258,2024-12-31,2605.71,2627.58,2602.59,2624.43,69422,5,0,8736.0
259,2025-01-02,2624.48,2660.46,2621.48,2657.98,83419,5,0,8784.0
260,2025-01-03,2658.34,2665.15,2636.51,2639.98,74593,5,0,8808.0
261,2025-01-06,2641.45,2649.45,2614.45,2635.77,83848,5,0,8880.0
262,2025-01-07,2636.09,2664.33,2632.98,2648.42,70702,5,0,8904.0
263,2025-01-08,2648.45,2670.0,2645.25,2661.44,80604,5,0,8928.0
264,2025-01-09,2661.31,2678.23,2655.51,2670.34,67495,5,0,8952.0
265,2025-01-10,2670.34,2698.01,2663.96,2688.96,89266,5,0,8976.0
266,2025-01-13,2690.19,2693.27,2656.84,2662.98,93434,5,0,9048.0
267,2025-01-14,2663.55,2678.38,2659.86,2677.37,88452,5,0,9072.0
268,2025-01-15,2678.38,2697.55,2669.39,2696.28,81616,5,0,9096.0
269,2025-01-16,2695.01,2724.76,2690.03,2714.26,86394,5,0,9120.0
270,2025-01-17,2714.44,2717.38,2698.47,2702.92,80490,5,0,9144.0
271,2025-01-20,2703.09,2713.76,2689.26,2706.7,69969,5,0,9216.0
272,2025-01-21,2708.28,2746.02,2702.81,2744.69,92790,5,0,9240.0
273,2025-01-22,2745.17,2763.45,2741.1,2756.18,84738,5,0,9264.0
274,2025-01-23,2756.17,2758.92,2735.58,2754.52,85621,5,0,9288.0
275,2025-01-24,2754.64,2785.94,2753.49,2771.48,87370,5,0,9312.0
276,2025-01-27,2769.76,2772.53,2730.48,2740.7,99704,5,0,9384.0
277,2025-01-28,2739.91,2765.11,2734.81,2763.17,83114,5,0,9408.0
278,2025-01-29,2763.23,2766.2,2744.76,2759.68,83303,5,0,9432.0
279,2025-01-30,2759.61,2798.49,2758.23,2794.06,83835,5,0,9456.0
280,2025-01-31,2795.08,2817.23,2791.02,2798.47,91210,5,0,9480.0
281,2025-02-03,2804.21,2830.4,2772.17,2814.75,107358,5,0,9552.0
282,2025-02-04,2814.62,2845.49,2807.19,2842.01,96838,5,0,9576.0
283,2025-02-05,2842.67,2882.49,2839.67,2867.02,90945,5,0,9600.0
284,2025-02-06,2864.94,2873.28,2834.1,2855.55,91182,5,0,9624.0
285,2025-02-07,2855.66,2883.3,2852.39,2882.95,59162,5,0,9648.0
